term,category,counts,implicit_opinion_rule
上妆,使用体验,"{'使用体验': 5, '功效': 2}",0
上妆效果,功效,"{'功效': 12, '使用体验': 1}",0
乳液,成分,{'成分': 1},1
产品,整体,{'整体': 1},0
价,价格,{'价格': 1},0
价位,价格,{'价格': 8},1
价格,价格,"{'价格': 139, '使用体验': 1}",1
价钱,价格,{'价格': 8},0
优惠券,价格,{'价格': 2},1
优惠力度,价格,{'价格': 2},1
优惠活动,价格,{'价格': 3},1
体亮,功效,{'功效': 1},0
保温效果,功效,{'功效': 1},0
保湿,功效,{'功效': 16},1
保湿度,功效,{'功效': 3},0
保湿效果,功效,{'功效': 39},0
保湿照顾,功效,{'功效': 1},0
保质期,新鲜度,{'新鲜度': 6},1
修复角质层,功效,{'功效': 1},1
修饰肤色,功效,{'功效': 1},0
到货,物流,{'物流': 2},0
到货速度,物流,{'物流': 1},0
包装,包装,"{'包装': 132, '整体': 1, '物流': 1}",1
包装盒,包装,"{'包装': 5, '整体': 1}",0
卖家,服务,{'服务': 3},0
卖家态度,服务,{'服务': 1},0
卖家服务,服务,{'服务': 1},0
卖家服务态度,服务,{'服务': 2},0
卡粉,使用体验,{'使用体验': 1},0
卸妆,功效,"{'功效': 13, '整体': 1}",0
卸妆力,功效,{'功效': 1},0
卸妆效果,功效,{'功效': 8},0
卸妆水,其他,{'其他': 1},0
厚度,尺寸,{'尺寸': 1},0
去污力,功效,{'功效': 1},0
去油效果,功效,{'功效': 1},0
发货,物流,{'物流': 19},0
发货物流,物流,{'物流': 1},0
发货送货,物流,{'物流': 1},0
发货速度,物流,{'物流': 11},0
吸收,使用体验,{'使用体验': 10},0
吸收情况,使用体验,{'使用体验': 2},0
味,气味,{'气味': 2},0
味道,气味,"{'气味': 127, '整体': 1}",1
品质,整体,{'整体': 1},0
售后,服务,{'服务': 1},0
商家,服务,{'服务': 3},0
商家态度,服务,{'服务': 1},0
商家服务,服务,{'服务': 1},0
图案,其他,{'其他': 1},0
塑封袋,包装,{'包装': 1},1
塑料味,气味,{'气味': 1},0
增品,价格,{'价格': 1},0
增白效果,功效,{'功效': 1},0
外包装,包装,{'包装': 1},1
外壳,包装,{'包装': 1},0
外箱,包装,{'包装': 1},1
外表,包装,{'包装': 1},0
外观,包装,{'包装': 6},0
大小,尺寸,{'尺寸': 3},0
天猫直送,物流,{'物流': 1},0
好评,整体,{'整体': 1},1
妆感,使用体验,{'使用体验': 2},0
定妆效果,功效,{'功效': 1},0
客服,服务,"{'服务': 14, '物流': 1}",1
客服回复,服务,{'服务': 1},0
客服态度,服务,{'服务': 6},0
客服服务,服务,{'服务': 1},0
客服服务态度,服务,{'服务': 1},0
小包装,包装,{'包装': 1},0
小哥服务态度,物流,{'物流': 1},0
小礼品,价格,{'价格': 3},1
尺寸大小,尺寸,{'尺寸': 1},0
底色,功效,{'功效': 1},0
店家服务,服务,{'服务': 2},0
延展性,使用体验,{'使用体验': 1},0
开票,服务,{'服务': 1},0
异味,气味,{'气味': 1},0
形状,尺寸,{'尺寸': 2},0
快寄,物流,{'物流': 1},0
快递,物流,"{'物流': 68, '包装': 1}",1
快递人员服务态度,物流,{'物流': 1},0
快递公司,物流,{'物流': 1},0
快递员,物流,{'物流': 7},1
快递员态度,物流,{'物流': 2},0
快递大哥,物流,{'物流': 2},0
快递小个,物流,{'物流': 1},0
快递小哥,物流,"{'物流': 22, '服务': 1}",1
快递小哥态度,物流,{'物流': 2},0
快递小哥服务,物流,{'物流': 2},0
快递小哥服务态度,物流,{'物流': 3},0
快递小哥送货速度,物流,{'物流': 1},0
快递师傅,物流,{'物流': 2},1
快递师傅态度,物流,{'物流': 1},0
快递服务,物流,{'物流': 2},0
快递服务态度,物流,{'物流': 1},0
快递的包装,物流,{'物流': 1},0
快递的速度,物流,{'物流': 1},0
快递盒,包装,{'包装': 1},0
快递速度,物流,{'物流': 9},0
态度,服务,"{'服务': 4, '物流': 3}",0
性价,价格,{'价格': 1},0
性价比,价格,"{'价格': 22, '其他': 3}",0
成分,成分,{'成分': 2},0
成膜,功效,"{'功效': 1, '使用体验': 1}",0
成膜速度,功效,{'功效': 1},0
护肤,功效,{'功效': 1},0
持久,功效,{'功效': 1},0
持久力,使用体验,{'使用体验': 1},0
持久度,使用体验,"{'使用体验': 3, '功效': 2}",0
持久情况,功效,{'功效': 6},1
持妆,功效,{'功效': 1},0
持妆效果,功效,{'功效': 1},0
按压设计,使用体验,{'使用体验': 2},0
控油情况,功效,{'功效': 1},0
控油效果,功效,{'功效': 5},1
推开,使用体验,{'使用体验': 1},0
提亮,功效,{'功效': 2},0
提亮效果,功效,{'功效': 1},0
提亮肤色,功效,{'功效': 3},0
提亮肤色效果,功效,{'功效': 1},0
收货,物流,{'物流': 3},0
效果,功效,"{'功效': 21, '整体': 1}",0
新包装,包装,{'包装': 2},1
新包装样式,包装,{'包装': 1},0
日期,新鲜度,{'新鲜度': 3},0
时间,物流,{'物流': 1},0
服务,服务,"{'服务': 26, '物流': 4}",0
服务态度,服务,"{'服务': 8, '物流': 6}",0
服务态度员,服务,{'服务': 1},0
气味,气味,"{'气味': 10, '使用体验': 1}",0
水,成分,{'成分': 2},0
水份,成分,{'成分': 4},0
水分,成分,"{'成分': 7, '使用体验': 1}",0
泡沫,使用体验,{'使用体验': 26},0
泡沫丰富度,使用体验,{'使用体验': 2},0
泡泡,使用体验,{'使用体验': 1},0
洁肤,功效,{'功效': 1},0
洁面,功效,{'功效': 2},0
活动,价格,"{'价格': 89, '整体': 1}",1
活动价,价格,{'价格': 4},1
活动价格,价格,{'价格': 5},0
活动力度,价格,{'价格': 3},0
浮粉,使用体验,{'使用体验': 1},0
