term,polarity,pos_n,neu_n,neg_n,top_category
5星好评,正面,2,0,0,整体
666,正面,1,0,0,整体
nice,正面,1,0,0,整体
一如既往的喜欢,正面,1,0,0,整体
一如既往的好,正面,12,0,0,整体
一抹就开,正面,1,0,0,使用体验
一整天,正面,1,0,0,功效
一样,正面,3,0,0,气味
一流,正面,2,0,0,服务
一流的,正面,2,0,0,物流
一点不好,负面,0,0,1,功效
一点不好用,负面,0,0,1,整体
一点也不刺激,正面,1,0,0,使用体验
一点也不好用,负面,0,0,1,其他
一点也不干,正面,1,0,0,使用体验
一点也不油,正面,1,0,0,使用体验
一点也不浮,正面,1,0,0,使用体验
一点也不紧绷,正面,1,0,0,使用体验
一点刺激感都没有,正面,1,0,0,使用体验
一点没问题,正面,1,0,0,使用体验
一点点,负面,0,0,1,尺寸
一点点红,负面,0,0,1,使用体验
一点都不水润,负面,0,0,1,使用体验
一点都没有,负面,0,0,1,功效
一片一片的,正面,1,0,0,使用体验
一百个赞,正面,2,0,0,物流
一直信赖,正面,1,0,0,整体
一直在用,正面,1,0,0,整体
一直棒棒,正面,1,0,0,整体
一直用,正面,2,0,0,整体
一直都用,正面,1,0,0,整体
一般,中性,1,26,1,整体
一般般,中性,0,16,2,整体
一般般吧,中性,0,1,0,功效
三流,负面,0,0,1,物流
上乘,正面,2,0,0,整体
上当了,负面,0,0,1,整体
上档次,正面,1,0,0,包装
不一样,负面,0,1,1,气味
不习惯,负面,0,0,1,气味
不会刺痛,正面,1,0,0,使用体验
不会太多,正面,1,0,0,使用体验
不会差,正面,3,0,0,整体
不会很干,正面,2,0,0,使用体验
不会掉粉,正面,1,0,0,使用体验
不会有,正面,2,0,0,使用体验
不会浮粉,正面,2,0,0,使用体验
不会紧绷,正面,2,0,0,使用体验
不会觉得紧绷,正面,1,0,0,使用体验
不会过敏,正面,3,0,0,使用体验
不伤皮肤,正面,1,0,0,使用体验
不保湿,负面,1,0,2,功效
不值,负面,0,0,1,整体
不假白,正面,3,0,0,功效
不假面,正面,1,0,0,功效
不刺激,正面,22,0,0,使用体验
不刺鼻,正面,1,0,0,气味
不加白,正面,1,0,0,功效
不卡粉,正面,18,0,0,使用体验
不厚,正面,2,0,0,使用体验
不厚重,正面,3,0,0,使用体验
不合格,负面,0,0,1,服务
不吸收,负面,0,0,2,使用体验
不喜欢,负面,0,0,5,整体
不壳粉,正面,1,0,0,使用体验
不多,中性,1,2,1,使用体验
不够细腻,正面,1,0,0,使用体验
不大好,负面,0,0,1,整体
不太刺激,正面,1,0,0,使用体验
不太喜欢,负面,0,0,4,气味
不太好,负面,0,0,4,整体
不太好洗掉,负面,0,0,1,使用体验
不太开心,负面,0,0,1,整体
不太适合,负面,0,0,2,整体
不夸张,正面,1,0,0,功效
不好,负面,0,0,13,整体
不好上妆,负面,0,0,1,功效
不好晕开,正面,1,0,0,使用体验
不好涂开,负面,0,0,1,使用体验
不好用,负面,0,0,18,整体
不好闻,负面,0,0,2,气味
不少,正面,1,0,0,价格
不差,正面,1,0,0,整体
不干,正面,17,0,0,使用体验
不干净,负面,0,0,1,功效
不干涩,正面,1,0,0,使用体验
不干燥,正面,8,0,0,使用体验
不干皮,正面,1,0,0,使用体验
不开心,负面,0,0,2,整体
不怎么亮肤,负面,0,0,1,功效
不怎么好用,负面,0,0,1,整体
不怎么样,负面,0,0,4,整体
不怎么油腻,正面,1,0,0,使用体验
不怎么白,负面,0,0,1,功效
不怎么补水,负面,0,0,1,功效
不怎么起泡沫,负面,0,0,1,使用体验
不拉眼,正面,1,0,0,使用体验
不持妆,负面,0,0,1,使用体验
不推荐,负面,0,0,1,整体
不敏感,正面,1,0,0,使用体验
不敢恭维,负面,0,0,1,服务
不敢用,负面,0,0,1,整体
不是太好,负面,0,0,1,功效
不是太完美,负面,0,0,1,整体
不是太干净,负面,0,0,1,功效
不是太明显,负面,0,0,1,功效
不是很值,负面,0,0,1,价格
不是很喜欢,负面,0,0,4,气味
不是很够,负面,0,0,1,功效
不是很好,负面,1,0,5,功效
不是很好吸收,正面,1,0,0,使用体验
不是很好用,负面,0,0,6,整体
不是很好闻,负面,0,0,1,气味
不是很干净,负面,0,0,1,功效
不是很滋润,负面,0,0,1,使用体验
不是很白,负面,0,0,1,功效
不是很足,负面,0,0,1,成分
不是很适合,负面,0,0,1,整体
不是很遮瑕,负面,0,0,1,功效
不是新的,负面,0,0,1,新鲜度
不是正品,负面,0,0,4,真伪
不是特别好,负面,0,0,1,使用体验
不是特别显白,正面,1,0,0,功效
不是特别油,正面,1,0,0,使用体验
不是特别油腻,正面,1,0,0,使用体验
不是特别白,正面,1,0,0,功效
不是那么水润,负面,0,0,1,使用体验
不是那么白,正面,1,0,0,功效
不是那种特别厚重的百,正面,1,0,0,功效
不显白,负面,0,0,1,功效
不服帖,负面,0,0,2,使用体验
不正,负面,0,0,1,功效
不沙眼睛,正面,1,0,0,使用体验
不油,正面,9,0,0,使用体验
不油不腻,正面,1,0,0,使用体验
不油腻,正面,55,0,0,使用体验
不泛白,正面,1,0,0,功效
不浓重,正面,1,0,0,气味
不浮夸,正面,1,0,0,功效
不浮粉,正面,4,0,0,使用体验
不清楚,中性,0,1,0,功效
不滋润,负面,0,0,1,功效
不爽,负面,0,0,1,价格
不痒,正面,1,0,0,使用体验
不知道是不是正品,中性,0,4,0,真伪
