id,Reviews,clean_text,tokens
1,很好，超值，很好用,很好 超值 很好用,很好 超值 很好用
2,很好，遮暇功能差一些，总体还不错,很好 遮暇功能差一些 总体还不错,很好 遮暇功能 差一些 总体 还不错
3,包装太随便了，连个包装盒都没有，第一感觉很不好,包装太随便了 连个包装盒都没有 第一感觉很不好,包装 太随便了 连 包装盒 都没有 第一 感觉 很不好
4,宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。,宝贝收到了 产品非常的不好 简直就是个垃圾 我都扔了,宝贝 收到 产品 非常的不好 简直 垃圾 扔
5,活动价很是划算，买一送一共60片才花八十五块，天天用都不心疼啊,活动价很是划算 买一送一共60片才花八十五块 天天用都不心疼啊,活动价 很是划算 买一送一 共 片才 花八 十五块 天天 用 不 心疼
6,使用一段时间才来评价，淡淡的香味，喜欢！,使用一段时间才来评价 淡淡的香味 喜欢,使用 一段时间 来 评价 淡淡的香味 喜欢
7,之前买过。用了还不错。继续回购,之前买过 用了还不错 继续回购,之前 买过 用 还不错 继续 回购
8,很润相对好推开。总体还可以。,很润相对好推开 总体还可以,很润 相对 好推开 总体 还可以
9,收到了，当天晚上就用了很不错哦，,收到了 当天晚上就用了很不错哦,收到 当天 晚上 用 很 不错哦
10,做活动时买的，比较划算，也比较好用,做活动时买的 比较划算 也比较好用,做 活动 时买 比较划算 比较好用
11,好用不油腻很清爽,好用不油腻很清爽,好用 不油腻 很清爽
12,气垫水润，还送了一个替换装，很值,气垫水润 还送了一个替换装 很值,气垫 水润 还 送 替换 装 很值
13,一直在**买东西，质量值得信赖物流还快，以后还会继续关注的。,一直在 某品牌 买东西 质量值得信赖物流还快 以后还会继续关注的,一直 某品牌 买 东西 质量 值得信赖 物流 还 快 以后 还会 继续 关注
14,很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。,很好的 以前用别的品牌这个品牌以前用的日霜不错这个也应该不错,很好的 以前 用 别的 品牌 品牌 以前 用 日霜 不错 应该不错
15,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质,上妆效果 容易上妆 个人情况 油性皮肤 持久情况 下午好像有点出油 整体描述 还不错 适合肤质 油性肤质,上妆效果 容易上妆 个人 情况 油性皮肤 持久情况 下午 好像 有点 出 油 整体 描述 还不错 适合 肤质 油性 肤质
16,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！,快递员很好 我当时没在家 给放到物业了 提醒我说 是一个小盒 用着也挺好用 自然真实,快递员 很好 当时 没 在家 放到 物业 提醒 说 小盒 用 挺好用 自然 真实
17,一般般，还可以，价格不算贵！用起来一般般啦,一般般 还可以 价格不算贵 用起来一般般啦,一般般 还可以 价格 不算贵 用 起来 一般般
18,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！,一直在用 感觉还是不错 这次还有小礼品 谢谢啦 还有快递小哥 今天下了雪如期送达 感谢,一直在用 感觉 还是 不错 这次 还有 小礼品 谢谢 还有 快递小哥 今天 下 雪 如期 送达 感谢
19,一直买在**买一个牌子的面膜，真的很补水，用完还来,一直买在 某品牌 买一个牌子的面膜 真的很补水 用完还来,一直 买 某品牌 买 牌子 面膜 真的 很补水 用 完 还 来
20,宝贝收到非常喜欢,宝贝收到非常喜欢,宝贝 收到 非常喜欢
21,还不错 物流很快 用了再追评使用感受,还不错 物流很快 用了再追评使用感受,还不错 物流 很快 用 追评 使用 感受
22,满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！赞?,满满一箱 上百片面膜可以用很久了 发货收到的比下单的多 赞,满满 一箱 上百 片面 膜 可以 用 很 久 发货 收到 比 下单 多 赞
23,用着还可以主要按压比较方便不用倒出来那种,用着还可以主要按压比较方便不用倒出来那种,用 还可以 主要 按压 比较方便 不用 倒 出来 那种
24,物流很快，商品好。支持**。,物流很快 商品好 支持 某品牌,物流 很快 商品 好 支持 某品牌
25,太好用了，味道也很好闻，大爱！,太好用了 味道也很好闻 大爱,太好用了 味道 很好闻 大爱
26,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了,和实体店买的一样 还送有一个面膜 用了优惠券 太合适了,实体店 买 一样 还 送 有 面膜 用 优惠券 太合适了
27,收到货了物流特别快隔离特别好,收到货了物流特别快隔离特别好,收到 货 物流 特别快 隔离 特别好
28,很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。,很好用 一直都买这个牌子的 无限回购 物美价廉 持续囤货中,很好用 一直 买 牌子 无限 回购 物美价廉 持续 囤货 中
29,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的,感觉还好吧 第一次用隔离 一开始操作失误出现点小问题 味道还好 送了卸妆水和面膜都挺好用的,感觉 还好吧 第一次 用 隔离 一 开始 操作失误 出现 点 小 问题 味道 还好 送 卸妆水 面膜 挺好用的
30,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK,已经用了7张 感觉水水嫩嫩的 不过在使用时 每包的乳液有不同 有的多 有的少 总之 效果OK,用 张 感觉 水水嫩嫩的 使用 时 每包 乳液 有 不同 有 多 有 少 总之 效果 OK
31,物流好快昨天下的单今天就到了，第一次用感觉挺好的！,物流好快昨天下的单今天就到了 第一次用感觉挺好的,物流 好快 昨天 下 单 今天 到 第一次 用 感觉 挺好的
32,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,发货很快 活动期间买的 特别合算 面膜纸贴合很好 精华也蛮多 可以用好久了,发货 很快 活动 期间 买 特别合算 面膜纸 贴合 很好 精华 蛮多 可以 用 好久
33,还不错还不错,还不错还不错,还不错 还不错
34,产品非常好，值得购买，质量过硬,产品非常好 值得购买 质量过硬,产品 非常好 值得 购买 质量 过硬
35,不错媳妇用着挺好的,不错媳妇用着挺好的,不错 媳妇 用 挺好的
36,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续,已经是第三瓶了 用了很自然 也不油腻 很清爽 下次还继续,第三 瓶 用 很自然 不油腻 很清爽 下次 还 继续
37,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。,不错 挺好的 挺满意的 服务也非常好 很喜欢在 某品牌 买东西,不错 挺好的 挺满意的 服务 非常好 很喜欢 某品牌 买 东西
38,用着舒服，补水效果也不错，价格实惠，以后还会光顾,用着舒服 补水效果也不错 价格实惠 以后还会光顾,用着舒服 补水效果 不错 价格 实惠 以后 还会 光顾
39,好用，性价比很高,好用 性价比很高,好用 性价比 很高
40,很温和的一款洗面奶，不紧崩，很好,很温和的一款洗面奶 不紧崩 很好,很温和 一款 洗面奶 不紧崩 很好
41,不错，很好，物超所值，**值得信赖！,不错 很好 物超所值 某品牌 值得信赖,不错 很好 物超所值 某品牌 值得信赖
42,当天下单当天下午就收到货了，物流很快，看着还可以，质量吗要用了才晓得，到时追评,当天下单当天下午就收到货了 物流很快 看着还可以 质量吗要用了才晓得 到时追评,当天 下单 当天 下午 收到 货 物流 很快 看着 还可以 质量 要 用 晓得 到 时 追评
43,好评 **买东西速度快 有保证好评 **买东西速度快 有保证,好评 某品牌 买东西速度快 有保证好评 某品牌 买东西速度快 有保证,好评 某品牌 买 东西 速度快 有 保证 好评 某品牌 买 东西 速度快 有 保证
44,小小一瓶，不过看起来还不错，使用以后再来追加,小小一瓶 不过看起来还不错 使用以后再来追加,小小 一瓶 看起来 还不错 使用 以后 来 追加
45,不错哦。速度很快，~。以后就买****的了。,不错哦 速度很快 以后就买 某品牌 的了,不错哦 速度 很快 以后 买 某品牌
46,很好的隔离霜，之前买过的用了，感觉还不错，就给同事也回购了一瓶。同事也很喜欢。,很好的隔离霜 之前买过的用了 感觉还不错 就给同事也回购了一瓶 同事也很喜欢,很好的 隔离霜 之前 买过 用 感觉 还不错 同事 回购 一瓶 同事 很喜欢
47,买了就直接降价20，真的是差评差评，太坑了。,买了就直接降价20 真的是差评差评 太坑了,买 直接 降价 真的 差评 差评 太坑了
48,刚收到货 还没用开始味道还好 到时在评论,刚收到货 还没用开始味道还好 到时在评论,刚 收到 货 还 没用 开始 味道 还好 到 时 评论
49,用了还不错，店家还送了两瓶卸妆水也很好哦,用了还不错 店家还送了两瓶卸妆水也很好哦,用 还不错 店家 还 送 两瓶 卸妆水 也很好
50,宝贝不错 经常在**买东西 品质有保障 而且经常做活动 物美价廉 不错不错！,宝贝不错 经常在 某品牌 买东西 品质有保障 而且经常做活动 物美价廉 不错不错,宝贝 不错 经常 某品牌 买 东西 品质 有 保障 而且 经常 做 活动 物美价廉 不错不错
51,快递挺快的，用了一片了，目前没有过敏,快递挺快的 用了一片了 目前没有过敏,快递 挺快的 用 一片 目前 没有过敏
